episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
31,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,3.397294599673878,53.15768677847726,0.5714285714285714,0.0693325428504873,66.24791383505377,1951.5821895599365,78.28590539547112,489.0,363.63984167575836,75,117,150,50,191.0,166.0,132.0,489.0,1.0,True,True
32,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.894966725980861,49.11156285603841,0.6,0.09789933451961723,64.79669064718875,1893.220051765442,90.24394058468788,510.0,373.1852693557739,84,128,163,25,215.0,165.0,130.0,510.0,0.0,True,False
33,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,0.5409715311445147,52.51172481883656,0.4782608695652174,0.023520501354109335,70.7378322694968,975.8199334144592,35.66523799329494,241.0,187.24248480796814,42,57,62,23,97.0,86.0,58.0,241.0,0.0,True,False
34,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.513825348650581,46.96722364425659,0.64,0.11027650697301163,61.98932699716862,1844.666181564331,74.51195842910201,494.0,343.1441054344177,95,107,153,45,187.0,173.0,134.0,494.0,1.0,True,True
35,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,5.418798944033675,48.91131603717804,0.64,0.1083759788806735,63.956868785914565,1838.3319244384766,82.48698829208128,486.0,395.5122630596161,83,112,172,33,188.0,177.0,121.0,486.0,1.0,True,True
36,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.106220473061436,46.94413917943051,0.76,0.14212440946122873,61.28011911242851,1735.4317169189453,72.40270574197004,513.0,371.5857663154602,90,103,160,47,207.0,173.0,133.0,513.0,0.0,True,False
37,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.093894892978351,48.427903175354004,0.625,0.08528947693704898,63.57338913863373,1711.1199741363525,78.86416545728314,481.0,390.26926922798157,96,94,165,29,208.0,156.0,117.0,481.0,0.0,True,False
38,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,7.021766860860848,49.3490884680497,0.76,0.14043533721721696,62.32389108346751,1812.465202331543,80.88815419893355,507.0,357.92059910297394,90,108,167,35,199.0,177.0,131.0,507.0,1.0,True,True
39,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.110090788850998,48.919238337764035,0.54,0.08220181577701996,65.89260226522421,1867.852644443512,81.79498327177744,486.0,429.49124217033386,95,106,167,32,205.0,154.0,127.0,486.0,0.0,True,False
40,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.9908562105121845,46.21362991333008,0.6,0.09981712421024369,61.871863425155844,1737.371789932251,78.01656126481106,463.0,407.60241055488586,93,101,173,33,187.0,163.0,113.0,463.0,1.0,True,True
41,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.616031497141496,49.3555468855233,0.58,0.09232062994282993,65.25954669023716,1966.0543384552002,82.31351360884291,462.0,376.30474269390106,94,110,150,46,189.0,143.0,130.0,462.0,0.0,True,False
42,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.634990466288663,51.30891568732984,0.66,0.11269980932577325,64.2404522702571,1855.5911951065063,76.94361387963758,510.0,384.74390172958374,86,109,155,50,211.0,171.0,128.0,510.0,0.0,True,False
43,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.720463234689494,50.0042250349715,0.74,0.1344092646937899,60.813488668361344,1807.2038478851318,79.06281099336913,495.0,329.70388758182526,89,96,170,45,189.0,176.0,130.0,495.0,1.0,True,True
44,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.937398146401852,49.95303731806138,0.68,0.11874796292803705,64.0227017371842,1874.0750126838684,77.34644901579229,474.0,387.8568117618561,68,112,172,48,195.0,147.0,132.0,474.0,0.0,True,False
45,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.376484641224433,50.82575035095215,0.64,0.10752969282448867,63.477899822827396,1924.8222665786743,81.63991895909591,470.0,348.7164032459259,83,110,156,51,187.0,175.0,108.0,470.0,1.0,True,True
46,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.165755518257585,49.710885078676284,0.62,0.1033151103651517,64.19815959261697,1925.073133468628,81.2387569844216,441.0,381.2980453968048,84,110,155,51,178.0,155.0,108.0,441.0,1.0,True,True
47,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.547409656834086,52.242269187138,0.58,0.09094819313668172,68.17910871037506,2061.8767223358154,81.81043876506055,506.0,379.63413739204407,90,105,156,49,202.0,160.0,144.0,506.0,0.0,True,False
48,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.628437932471207,53.50715142327386,0.74,0.13256875864942413,63.48181464143259,1937.4396781921387,77.44885640691855,491.0,334.1010991334915,84,105,158,53,197.0,167.0,127.0,491.0,0.0,True,False
49,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.335745763006597,52.443437457084656,0.64,0.10671491526013194,65.52300600480312,1971.0219621658325,75.07354510328508,472.0,379.0273975133896,85,102,164,49,188.0,160.0,124.0,472.0,1.0,True,True
50,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.622685802198039,49.369095506339235,0.58,0.09245371604396078,65.7235109832675,1872.1943054199219,83.34345839894823,484.0,423.31889176368713,109,100,162,29,207.0,153.0,124.0,484.0,1.0,True,True
51,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.671701926944463,50.055115497473516,0.66,0.11343403853888927,62.51519908704972,1866.0128526687622,78.95131302634476,447.0,366.8978954553604,79,107,161,53,169.0,145.0,133.0,447.0,1.0,True,True
52,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,2.437995840520168,46.66539688110352,0.625,0.07618737001625525,62.26203902451856,1148.3165378570557,57.47813228679113,317.0,234.79528856277466,58,62,113,23,131.0,100.0,86.0,317.0,1.0,True,True
53,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.905901945210965,49.09050229390462,0.6,0.09811803890421929,63.67356381852372,1932.8899717330933,83.31779257146476,461.0,353.23521304130554,85,121,156,38,202.0,143.0,116.0,461.0,0.0,True,False
54,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.902196121853318,51.64952592288746,0.68,0.11804392243706635,64.44455013089527,1927.3459148406982,76.59249340599179,488.0,365.1445486545563,81,104,155,60,207.0,162.0,119.0,488.0,1.0,True,True
