time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,ue_file_id,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
14691,0,1,3400,-73.0,73.0,-268.0,5.3,13.0,0.52,30752.0,0.0,27.0,0.0,0.0,14592.0,6.0,0.0,1.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
14940,0,1,3400,-73.0,73.0,-263.0,12.0,13.0,1.6,9625.498047,38.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
15189,0,1,3400,-73.0,73.0,-267.0,9.5,13.0,1.4,11136.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
15438,0,1,3400,-73.0,73.0,-267.0,9.6,13.0,1.5,0.0,100.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
15687,0,1,3400,-73.0,73.0,-265.0,12.0,13.0,1.9,8416.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
15936,0,1,3400,-72.0,72.0,-265.0,11.0,13.0,1.6,11250.996094,18.0,27.0,0.0,0.0,13131.473633,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
16185,0,1,3400,-72.0,72.0,-266.0,8.5,14.0,0.69,2912.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
16434,0,1,3400,-72.0,72.0,-265.0,16.0,14.0,3.0,20960.0,17.0,27.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
16683,0,1,3400,-72.0,72.0,-266.0,13.0,14.0,1.0,21354.582031,0.0,27.0,0.0,0.0,14023.904297,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
16932,0,1,3400,-72.0,72.0,-265.0,15.0,13.0,2.8,10400.0,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
