dataset_group,scenario,training_id,experiment_id,imsi,num_records,min_time,max_time,unique_base_station_count,base_stations_observed,unique_rnti_count,rnti_values,rnti_change_count,unique_slice_id_count,slice_ids_observed,appears_in_more_than_one_base_station,sequential_multi_bs_timestamps,same_timestamp_multi_bs_count,ambiguous_multi_bs_observation
slice_mixed,rome_slow_close,tr0,exp2,1010123456014,494,1602366955131.0,1602367078403.0,1,bs2,1,79,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456015,496,1602366954381.0,1602367078131.0,1,bs2,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456016,1837,1602366954631.0,1602367414631.0,1,bs2,2,126;78,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456017,494,1602366954881.0,1602367078131.0,1,bs2,1,77,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456018,494,1602366954881.0,1602367078131.0,1,bs2,1,71,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456019,256,1602366954131.0,1602367017881.0,1,bs2,1,81,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456020,279,1602366954881.0,1602367024381.0,1,bs2,1,75,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456021,293,1602367004882.0,1602367077881.0,1,bs2,1,110,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456022,1771,1602366957131.0,1602367400631.0,1,bs2,2,127;83,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456028,1295,1602366930282.0,1602367362631.0,2,bs2;bs3,2,142;70,0,1,0,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456024,1867,1602366954282.0,1602367420782.0,1,bs3,1,74,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456025,434,1602366955032.0,1602367063282.0,1,bs3,1,78,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456027,1189,1602366954282.0,1602367251282.0,1,bs3,1,73,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456029,1538,1602366954032.0,1602367338282.0,1,bs3,1,71,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456030,1867,1602366954282.0,1602367420782.0,1,bs3,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456031,1663,1602366955532.0,1602367420782.0,1,bs3,2,123;77,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456032,1341,1602366954532.0,1602367289532.0,1,bs3,1,79,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456033,1126,1602366955282.0,1602367240032.0,1,bs3,3,135;146;76,2,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456035,226,1602366955104.0,1602367011354.0,1,bs4,1,75,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456036,229,1602366954354.0,1602367011354.0,1,bs4,1,78,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456037,227,1602366954854.0,1602367011354.0,1,bs4,1,83,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456038,221,1602366956354.0,1602367011354.0,1,bs4,1,73,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456039,226,1602366955104.0,1602367011354.0,1,bs4,1,80,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456040,158,1602366955104.0,1602366994354.0,1,bs4,1,77,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456041,227,1602366954854.0,1602367011354.0,1,bs4,1,82,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456042,231,1602366953854.0,1602367011354.0,1,bs4,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456043,229,1602366954354.0,1602367011354.0,1,bs4,1,79,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp2,1010123456044,321,1602366931354.0,1602367011354.0,1,bs4,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456002,1825,1602383903731.0,1602384359731.0,1,bs1,1,80,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456003,1827,1602383903231.0,1602384359731.0,1,bs1,1,72,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456004,1825,1602383903231.0,1602384359731.0,1,bs1,2,78;82,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456005,1831,1602383902231.0,1602384359731.0,1,bs1,1,74,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456006,1128,1602383904231.0,1602384185981.0,1,bs1,1,81,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456007,1827,1602383902981.0,1602384359731.0,1,bs1,2,70;83,1,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456008,1814,1602383903231.0,1602384356481.0,1,bs1,1,73,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456009,1826,1602383903481.0,1602384359731.0,1,bs1,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456010,243,1602383903481.0,1602383963981.0,1,bs1,1,79,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456011,1824,1602383903981.0,1602384359731.0,1,bs1,1,71,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456013,247,1602383902792.0,1602383964292.0,1,bs2,1,78,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456014,257,1602383903042.0,1602383967080.0,1,bs2,1,81,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456015,255,1602383903292.0,1602383966819.0,1,bs2,1,85,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456016,247,1602383902792.0,1602383964292.0,1,bs2,1,82,0,1,0,False,False,0,False
