dataset_group,scenario,training_id,experiment_id,imsi,time_prev,time_curr,src_rh,dst_rh,src_rnti,dst_rnti,src_slice_id,dst_slice_id,dt_ms,dl_rate_before_mbps,ul_rate_before_mbps,dl_buffer_before_bytes,ul_buffer_before_bytes,dl_cqi_before,ul_sinr_before,handover_confidence,reason
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168018,1602430168192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,11.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168192,1602430168268,bs3,bs1,84,83,1,1,76,0.0661847,0.0,0,0,6.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168268,1602430168442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168442,1602430168518,bs3,bs1,84,83,1,1,76,0.0429558,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168518,1602430168692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,9.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168692,1602430168768,bs3,bs1,84,83,1,1,76,0.0427631,0.0,0,0,7.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168768,1602430168942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,7.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430168942,1602430169018,bs3,bs1,84,83,1,1,76,0.011245,0.0,0,0,5.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169018,1602430169192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,1.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169192,1602430169268,bs3,bs1,84,83,1,1,76,0.0280482,0.0,0,0,7.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169268,1602430169442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169442,1602430169518,bs3,bs1,84,83,1,1,76,0.0632932,0.0,0,0,8.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169518,1602430169692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,3.0,0.0,high,clear_consecutive_rh_change
