episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
67,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,64.43773882550538,199.82300186157227,8.997817282357811,37.0,38.183937549591064,10,12,14,4,18.0,11.0,8.0,37.0,0.0,True,False
68,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,70.79622174898319,201.03417587280273,6.82484320040606,31.0,57.561044692993164,10,16,10,4,19.0,6.0,6.0,31.0,1.0,True,True
69,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,68.18691437042352,265.0157699584961,8.145244094472938,23.0,22.386779069900513,16,11,8,5,8.0,9.0,6.0,23.0,1.0,True,True
70,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,60.08783050234039,201.1626853942871,7.091806940946913,32.0,30.092329502105713,11,13,11,5,15.0,11.0,6.0,32.0,1.0,True,True
71,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,63.44644782872014,217.78633499145508,9.287532758560404,27.0,31.579185962677002,7,15,13,5,14.0,9.0,4.0,27.0,0.0,True,False
72,small,small_balanced_train_a,train,strict_full,-1.4375,inf,0.0,-0.2875,67.972931640649,221.8313980102539,9.077745475888998,30.0,39.47775745391846,11,11,13,5,13.0,14.0,3.0,30.0,1.0,True,True
73,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,74.39517813915428,254.76715469360352,8.902497076615504,14.0,47.1531195640564,12,14,7,7,5.0,6.0,3.0,14.0,0.0,True,False
74,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,73.76252161195576,248.46466445922852,9.319528661051391,21.0,45.01420736312866,11,13,11,5,11.0,8.0,2.0,21.0,0.0,True,False
75,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,74.58207010149438,238.04180145263672,7.492640305445529,16.0,55.68795442581177,12,13,10,5,8.0,6.0,2.0,16.0,1.0,True,True
76,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,58.78017723913714,192.41033744812012,6.825762695624679,24.0,35.33239269256592,12,13,10,5,15.0,6.0,3.0,24.0,1.0,True,True
77,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,67.83875640606695,249.3715362548828,7.513044685592875,18.0,32.154600620269775,12,11,12,5,8.0,7.0,3.0,18.0,1.0,True,True
78,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,84.4538615007031,292.52515983581543,9.082624330335856,15.0,52.830761432647705,11,12,12,5,6.0,5.0,4.0,15.0,0.0,True,False
79,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,68.14899596745863,238.07876205444336,7.862443887204677,18.0,38.40188765525818,14,13,10,3,11.0,4.0,3.0,18.0,1.0,True,True
80,small,small_clustered_train_b,train,strict_full,-1.4375,inf,0.0,-0.2875,63.105061536627865,234.8557586669922,9.04195529208705,10.0,30.813796758651733,8,15,12,5,6.0,4.0,0.0,10.0,0.0,True,False
81,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,70.71488796568595,275.11285400390625,7.494775900397822,16.0,27.483404636383057,13,16,6,5,11.0,5.0,0.0,16.0,1.0,True,True
82,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,62.299469494200196,208.90610885620117,7.094796643593162,23.0,36.248220920562744,6,18,11,5,12.0,6.0,5.0,23.0,0.0,True,False
83,small,small_balanced_train_a,train,strict_full,-1.3125,inf,0.0,-0.2625,55.45864793309174,225.36391067504883,7.726594184539841,12.0,16.101367354393005,11,14,10,5,5.0,2.0,5.0,12.0,1.0,True,True
84,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,53.873051901235655,180.90624523162842,7.916711610174551,17.0,31.771151542663574,9,15,11,5,10.0,7.0,0.0,17.0,0.0,True,False
85,small,small_clustered_train_b,train,strict_full,-1.4375,inf,0.0,-0.2875,69.80882611681179,237.24380111694336,8.80583548327461,17.0,42.99724721908569,12,15,9,4,10.0,5.0,2.0,17.0,1.0,True,True
86,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,67.02561995248263,247.95048904418945,8.475662699577398,12.0,33.35097408294678,9,19,8,4,9.0,3.0,0.0,12.0,1.0,True,True
87,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,62.211608920703824,190.35456085205078,6.814517933444678,21.0,46.44448280334473,11,14,11,4,11.0,7.0,3.0,21.0,0.0,True,False
88,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,64.69391274135816,227.5757179260254,7.9040530618781215,20.0,33.99489641189575,10,18,7,5,13.0,5.0,2.0,20.0,1.0,True,True
89,small,small_balanced_train_a,train,strict_full,-1.375,inf,0.0,-0.275,64.5546783629873,267.2978935241699,7.461563303698412,11.0,18.506967544555664,17,11,7,5,9.0,1.0,1.0,11.0,1.0,True,True
90,small,small_clustered_train_b,train,strict_full,-1.75,inf,0.0,-0.35,54.08651376811631,191.04827308654785,6.830690754872934,16.0,28.27680206298828,11,15,8,6,11.0,3.0,2.0,16.0,1.0,True,True
91,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,77.45743479240738,285.10912704467773,8.857054360596464,13.0,40.16049671173096,12,16,6,6,7.0,2.0,4.0,13.0,1.0,True,True
